Article,Article Description,Movement Type Text,Movement type,Qty in unit of entry,Reference,Entry Date,Sales Value inc. VAT,Sales Value,Document Header Text,Document Date,Order Price Unit,Qty in OPUn,Amt.in loc.cur.,Purchase order,Base Unit of Measure,Debit/Credit ind,User Name,Trans./Event Type
513315,Kiehls Ultra F. S0316500 CL,GI Sales DOMESTIC,X51,-1,13607,18/06/2022,-190.00,-180.50,POS/8210,18/06/2022,,0.000,-95.09,,PC,H,BWREMOTE_P34,WA
1047401,L'Occi Verben 15MA075VB4 HDCR,GI Sales DOMESTIC,X51,-1,13579,18/06/2022,-185.00,-195.00,POS/8210,18/06/2022,,0.000,-86.70,,PC,H,BWREMOTE_P34,WA
1416524,Ritual Sakura 1106567 BOSCR,GI Sales DOMESTIC,X51,-1,23917,18/06/2022,-145.00,-116.00,POS/8210,18/06/2022,,0.000,-50.82,,PC,H,BWREMOTE_P34,WA
1438850,Cliniq Even Better KN0Y01 WHIT,GI Sales DOMESTIC,X51,-1,23883,18/06/2022,-710.00,-705.00,POS/8210,18/06/2022,,0.000,-406.34,,PC,H,BWREMOTE_P34,WA
1456803,L'Occi Rose 24MA150R19 HDCR,GI Sales DOMESTIC,X51,-1,13603,18/06/2022,-245.00,-255.00,POS/8210,18/06/2022,,0.000,-114.57,,PC,H,BWREMOTE_P34,WA
1471331,Ritual Ayurveda 1107157 HOME,GI Sales DOMESTIC,X51,-1,13592,18/06/2022,-145.00,-140.00,POS/8210,18/06/2022,,0.000,-77.20,,PC,H,BWREMOTE_P34,WA
1471332,Ritual Mehr 1107167 HOME,GI Sales DOMESTIC,X51,-1,13588,18/06/2022,-145.00,-140.00,POS/8210,18/06/2022,,0.000,-74.66,,PC,H,BWREMOTE_P34,WA
1471337,Ritual Mehr 1109927 B+SG,GI Sales DOMESTIC,X51,-2,13588,18/06/2022,-170.00,-152.00,POS/8210,18/06/2022,,0.000,-86.25,,PC,H,BWREMOTE_P34,WA
1471350,Ritual Mehr 1109943 MIST,GI Sales DOMESTIC,X51,-1,13588,18/06/2022,-175.00,-160.00,POS/8210,18/06/2022,,0.000,-80.18,,PC,H,BWREMOTE_P34,WA
1473004,Ritual Other 1101309 LBALM,GI Sales DOMESTIC,X51,-1,23906,18/06/2022,-100.00,-120.00,POS/8210,18/06/2022,,0.000,-45.85,,PC,H,BWREMOTE_P34,WA
1473094,Ritual Floral 1105395 HOME,GI Sales DOMESTIC,X51,-1,23890,18/06/2022,-290.00,-296.00,POS/8210,18/06/2022,,0.000,-132.92,,PC,H,BWREMOTE_P34,WA
1473095,Ritual Amst 1105530 OTH,GI Sales DOMESTIC,X51,-1,23902,18/06/2022,-540.00,-459.00,POS/8210,18/06/2022,,0.000,-248.58,,PC,H,BWREMOTE_P34,WA
1473098,Ritual Black 1105982 HOME,GI Sales DOMESTIC,X51,-1,23897,18/06/2022,-290.00,-296.00,POS/8210,18/06/2022,,0.000,-151.25,,PC,H,BWREMOTE_P34,WA
1473120,Ritual Jing 1107150 CANDL,GI Sales DOMESTIC,X51,-2,23921,18/06/2022,-450.00,-367.50,POS/8210,18/06/2022,,0.000,-208.93,,PC,H,BWREMOTE_P34,WA
1473123,Ritual Ayur 1107156 OTH,GI Sales DOMESTIC,X51,-1,23933,18/06/2022,-255.00,-315.00,POS/8210,18/06/2022,,0.000,-130.12,,PC,H,BWREMOTE_P34,WA
1473123,Ritual Ayur 1107156 OTH,RE Sales DOMESTIC,X52,1,23931,18/06/2022,255.00,315.00,POS/8210,18/06/2022,,0.000,130.12,,PC,S,BWREMOTE_P34,WA
1473123,Ritual Ayur 1107156 OTH,GI Sales DOMESTIC,X51,-1,23929,18/06/2022,-255.00,-315.00,POS/8210,18/06/2022,,0.000,-130.12,,PC,H,BWREMOTE_P34,WA
1473123,Ritual Ayur 1107156 OTH,GI Sales DOMESTIC,X51,-1,23897,18/06/2022,-255.00,-252.00,POS/8210,18/06/2022,,0.000,-130.12,,PC,H,BWREMOTE_P34,WA
1473123,Ritual Ayur 1107156 OTH,GI Sales DOMESTIC,X51,-1,23890,18/06/2022,-255.00,-252.00,POS/8210,18/06/2022,,0.000,-130.12,,PC,H,BWREMOTE_P34,WA
1473125,Ritual Sakura 1107175 OTH,GI Sales DOMESTIC,X51,-1,23936,18/06/2022,-255.00,-315.00,POS/8210,18/06/2022,,0.000,-135.61,,PC,H,BWREMOTE_P34,WA
1473125,Ritual Sakura 1107175 OTH,GI Sales DOMESTIC,X51,-1,23902,18/06/2022,-255.00,-267.75,POS/8210,18/06/2022,,0.000,-135.61,,PC,H,BWREMOTE_P34,WA
1473150,Ritual Black 1109602 CANDL,GI Sales DOMESTIC,X51,-1,23917,18/06/2022,-340.00,-296.00,POS/8210,18/06/2022,,0.000,-158.01,,PC,H,BWREMOTE_P34,WA
